Algorithm,Problem,M,Run,IGD,HV
IVFSPEA2_P2_C05,ZDT2,2,300053,0.003910906883310439,0.4448836388232514
IVFSPEA2_P2_C05,ZDT2,2,300054,0.004030423173534455,0.4449143681380101
IVFSPEA2_P2_C05,ZDT2,2,300055,0.003953103843422214,0.4450199029124638
IVFSPEA2_P2_C05,ZDT2,2,300056,0.0038963488737414013,0.4449572543038698
IVFSPEA2_P2_C05,ZDT2,2,300057,0.003917015078655042,0.44500159812439155
IVFSPEA2_P2_C05,ZDT2,2,300058,0.0038401227289226155,0.4451198776746931
IVFSPEA2_P2_C05,ZDT2,2,300059,0.003917985602958802,0.4450859129756745
IVFSPEA2_P2_C05,ZDT2,2,300060,0.003794609125351331,0.445079696402517
IVFSPEA2_P2_C05,ZDT3,2,300001,0.005172852810867381,0.5994901602240744
IVFSPEA2_P2_C05,ZDT3,2,300002,0.0049233468487150265,0.5995580001241774
IVFSPEA2_P2_C05,ZDT3,2,300003,0.005096603677029581,0.5995215969313035
IVFSPEA2_P2_C05,ZDT3,2,300004,0.004796172192755994,0.5997393274389703
IVFSPEA2_P2_C05,ZDT3,2,300005,0.004757535025547715,0.5996915229750794
IVFSPEA2_P2_C05,ZDT3,2,300006,0.004895885964054026,0.5996435151302075
IVFSPEA2_P2_C05,ZDT3,2,300007,0.004921410475535694,0.5996588292953484
IVFSPEA2_P2_C05,ZDT3,2,300008,0.004793627178292593,0.5996602057997384
IVFSPEA2_P2_C05,ZDT3,2,300009,0.00492208584303609,0.5996214274260638
IVFSPEA2_P2_C05,ZDT3,2,300010,0.005093713386242327,0.5995514329954149
IVFSPEA2_P2_C05,ZDT3,2,300011,0.004876099770136333,0.5996080517051139
IVFSPEA2_P2_C05,ZDT3,2,300012,0.004831527333580905,0.5996627415519838
IVFSPEA2_P2_C05,ZDT3,2,300013,0.00484242022608564,0.5995786085066247
IVFSPEA2_P2_C05,ZDT3,2,300014,0.004987031272693022,0.5995470917432132
IVFSPEA2_P2_C05,ZDT3,2,300015,0.00476960577777839,0.5997081335486304
IVFSPEA2_P2_C05,ZDT3,2,300016,0.004790296829967655,0.5996491279403774
IVFSPEA2_P2_C05,ZDT3,2,300017,0.004925796730193361,0.5996839059368907
IVFSPEA2_P2_C05,ZDT3,2,300018,0.004814697199296941,0.5996905980704311
IVFSPEA2_P2_C05,ZDT3,2,300019,0.005013718172908871,0.5994916657694915
IVFSPEA2_P2_C05,ZDT3,2,300020,0.004910608273349741,0.5996695096085878
IVFSPEA2_P2_C05,ZDT3,2,300021,0.0049365239090903516,0.5995695802295232
IVFSPEA2_P2_C05,ZDT3,2,300022,0.004966345619193435,0.5996606831653124
IVFSPEA2_P2_C05,ZDT3,2,300023,0.0053783419063307605,0.599451871392356
IVFSPEA2_P2_C05,ZDT3,2,300024,0.004814242838296728,0.5996923680688708
IVFSPEA2_P2_C05,ZDT3,2,300025,0.0048141792170702845,0.5996797270680118
IVFSPEA2_P2_C05,ZDT3,2,300026,0.004838452586044147,0.5996620268223842
IVFSPEA2_P2_C05,ZDT3,2,300027,0.005069994436398834,0.5995743238013783
IVFSPEA2_P2_C05,ZDT3,2,300028,0.004766125156134175,0.5996729060859227
IVFSPEA2_P2_C05,ZDT3,2,300029,0.005035486394211349,0.5995837719696684
IVFSPEA2_P2_C05,ZDT3,2,300030,0.0048521201641155455,0.5996593171794552
IVFSPEA2_P2_C05,ZDT3,2,300031,0.004919371767589652,0.5996398780277966
IVFSPEA2_P2_C05,ZDT3,2,300032,0.005028571034840503,0.5996219827167432
IVFSPEA2_P2_C05,ZDT3,2,300033,0.004771764309810862,0.599714770800997
IVFSPEA2_P2_C05,ZDT3,2,300034,0.005040108598320322,0.5995651721740627
IVFSPEA2_P2_C05,ZDT3,2,300035,0.004771078348835459,0.599650442352323
IVFSPEA2_P2_C05,ZDT3,2,300036,0.005102150486581291,0.5994616130474884
IVFSPEA2_P2_C05,ZDT3,2,300037,0.004974245454197536,0.5995084919610876
IVFSPEA2_P2_C05,ZDT3,2,300038,0.004805918599827972,0.5996386989872697
IVFSPEA2_P2_C05,ZDT3,2,300039,0.004854913129239028,0.5996251208393173
IVFSPEA2_P2_C05,ZDT3,2,300040,0.004860829985709746,0.5996829751149179
IVFSPEA2_P2_C05,ZDT3,2,300041,0.004824488390032694,0.5997363277448755
IVFSPEA2_P2_C05,ZDT3,2,300042,0.004886913452335012,0.5996328497442972
IVFSPEA2_P2_C05,ZDT3,2,300043,0.005056982816972915,0.5995764771988406
IVFSPEA2_P2_C05,ZDT3,2,300044,0.004827995812914049,0.5996963505047955
IVFSPEA2_P2_C05,ZDT3,2,300045,0.004803290422508024,0.599661956785064
IVFSPEA2_P2_C05,ZDT3,2,300046,0.004908886294134686,0.5996398490961918
IVFSPEA2_P2_C05,ZDT3,2,300047,0.004827747868665303,0.5997038382642638
IVFSPEA2_P2_C05,ZDT3,2,300048,0.004844873383366849,0.5996647914461192
IVFSPEA2_P2_C05,ZDT3,2,300049,0.004793224406748453,0.5997257108552362
IVFSPEA2_P2_C05,ZDT3,2,300050,0.004758990297279831,0.5996453771512673
IVFSPEA2_P2_C05,ZDT3,2,300051,0.004735995675292556,0.5997233531064193
IVFSPEA2_P2_C05,ZDT3,2,300052,0.00494971203489158,0.5995407408397293
IVFSPEA2_P2_C05,ZDT3,2,300053,0.004930583629540881,0.5996692460441372
IVFSPEA2_P2_C05,ZDT3,2,300054,0.004856705866958054,0.5996781447071365
IVFSPEA2_P2_C05,ZDT3,2,300055,0.004781449805982973,0.5997165885733076
IVFSPEA2_P2_C05,ZDT3,2,300056,0.0048835538119903765,0.5995649050206068
