Algorithm,Problem,M,Run,IGD
IVFSPEA2ABL4C,DTLZ4,3,32,0.54083988057165
IVFSPEA2ABL4C,DTLZ4,3,33,0.0536985790478613
IVFSPEA2ABL4C,DTLZ4,3,34,0.945924928597986
IVFSPEA2ABL4C,DTLZ4,3,35,0.0545891113905984
IVFSPEA2ABL4C,DTLZ4,3,36,0.540833810277111
IVFSPEA2ABL4C,DTLZ4,3,37,0.0537917569164663
IVFSPEA2ABL4C,DTLZ4,3,38,0.0556748645124714
IVFSPEA2ABL4C,DTLZ4,3,39,0.540831472467903
IVFSPEA2ABL4C,DTLZ4,3,40,0.055514059784603
IVFSPEA2ABL4C,DTLZ4,3,41,0.0546010271503216
IVFSPEA2ABL4C,DTLZ4,3,42,0.540836801243864
IVFSPEA2ABL4C,DTLZ4,3,43,0.0542588651124904
IVFSPEA2ABL4C,DTLZ4,3,44,0.540832256626159
IVFSPEA2ABL4C,DTLZ4,3,45,0.0536129020480521
IVFSPEA2ABL4C,DTLZ4,3,46,0.053745795876947
IVFSPEA2ABL4C,DTLZ4,3,47,0.945924926421278
IVFSPEA2ABL4C,DTLZ4,3,48,0.540832859743923
IVFSPEA2ABL4C,DTLZ4,3,49,0.0534699721240897
IVFSPEA2ABL4C,DTLZ4,3,50,0.0535805719148273
IVFSPEA2ABL4C,DTLZ4,3,51,0.540837098796684
IVFSPEA2ABL4C,DTLZ4,3,52,0.0547813572809306
IVFSPEA2ABL4C,DTLZ4,3,53,0.0543702572644026
IVFSPEA2ABL4C,DTLZ4,3,54,0.945924926566573
IVFSPEA2ABL4C,DTLZ4,3,55,0.0542540550480812
IVFSPEA2ABL4C,DTLZ4,3,56,0.0545792315887918
IVFSPEA2ABL4C,DTLZ4,3,57,0.0534277298213836
IVFSPEA2ABL4C,DTLZ4,3,58,0.540826783191828
IVFSPEA2ABL4C,DTLZ4,3,59,0.540831613601345
IVFSPEA2ABL4C,DTLZ4,3,60,0.0541752972170102
IVFSPEA2ABLDOM,DTLZ4,3,1,0.0540182967523648
IVFSPEA2ABLDOM,DTLZ4,3,2,0.540842023021009
IVFSPEA2ABLDOM,DTLZ4,3,3,0.0543232422769692
IVFSPEA2ABLDOM,DTLZ4,3,4,0.0540484784578781
IVFSPEA2ABLDOM,DTLZ4,3,5,0.540825837598083
IVFSPEA2ABLDOM,DTLZ4,3,6,0.0545788309707236
IVFSPEA2ABLDOM,DTLZ4,3,7,0.540824154934591
