Algorithm,Problem,M,D,Run,IGD,SourcePath,HV
IVFSPEA2ABL1C,DTLZ1,3,7,41,0.0198602446321373,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_41.mat,0.842421260518403
IVFSPEA2ABL1C,DTLZ1,3,7,42,0.0201494037601417,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_42.mat,0.841868510371908
IVFSPEA2ABL1C,DTLZ1,3,7,43,0.0200944393515492,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_43.mat,0.842423766538847
IVFSPEA2ABL1C,DTLZ1,3,7,44,0.0200486379221945,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_44.mat,0.842727526132764
IVFSPEA2ABL1C,DTLZ1,3,7,45,0.0200577020701188,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_45.mat,0.84256262251527
IVFSPEA2ABL1C,DTLZ1,3,7,46,0.0201181973550067,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_46.mat,0.842210329987036
IVFSPEA2ABL1C,DTLZ1,3,7,47,0.0201659154654551,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_47.mat,0.842187426993873
IVFSPEA2ABL1C,DTLZ1,3,7,48,0.0201422210857756,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_48.mat,0.842214460620013
IVFSPEA2ABL1C,DTLZ1,3,7,49,0.0199500635798283,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_49.mat,0.842462928309125
IVFSPEA2ABL1C,DTLZ1,3,7,50,0.0201259901921649,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_50.mat,0.842685909099755
IVFSPEA2ABL1C,DTLZ1,3,7,51,0.0202610287181661,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_51.mat,0.842336746871552
IVFSPEA2ABL1C,DTLZ1,3,7,52,0.0200669186978294,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_52.mat,0.842069092751139
