Problem,R,C,IGD_Median,IGD_Mean,IGD_Std,Count
DTLZ7,0.1,0.1,0.0047616705482250495,0.004754708896560869,9.609221726304526e-05,30
DTLZ7,0.1,0.125,0.004768836265016952,0.01935291774400583,0.0786156757898061,30
DTLZ7,0.1,0.15,0.004728873974897524,0.0047147947924722705,6.241975517202755e-05,30
DTLZ7,0.125,0.125,0.004733683114778776,0.004748020218955704,8.269322230979587e-05,30
DTLZ7,0.15,0.125,0.004775827969566637,0.019360211456938572,0.07861414889926524,30
MaF1,0.1,0.1,0.003778570497906399,0.003785949665406749,3.6694094378318906e-05,30
MaF1,0.1,0.125,0.003777762686056951,0.0037782843322322363,3.290507970238746e-05,30
MaF1,0.1,0.15,0.0037842941297663857,0.0037874520783518616,4.750951379521654e-05,30
MaF1,0.125,0.125,0.003777717428294393,0.003777238856244194,4.0233170851089975e-05,30
MaF1,0.15,0.125,0.00376063017009034,0.00377172978992824,5.441613056783361e-05,30
MaF2,0.1,0.1,0.0021340363544719194,0.0021392106674891515,3.0333115573791943e-05,30
MaF2,0.1,0.125,0.0021590059394267927,0.0021552329104499424,3.671893190711618e-05,30
MaF2,0.1,0.15,0.0021481757921410147,0.0021599873807555503,3.863314028240841e-05,30
MaF2,0.125,0.125,0.0021334366697515995,0.0021392262133649014,3.4173037642219304e-05,30
MaF2,0.15,0.125,0.002123588533401227,0.0021313087327871306,2.741704164704197e-05,30
MaF3,0.1,0.1,0.004484545171773338,0.004624907818188583,0.0007836846170641832,30
MaF3,0.1,0.125,0.004519365710666355,0.004681040747408642,0.0007616836586883523,30
MaF3,0.1,0.15,0.004469066083138589,0.004854086253804758,0.0009940532051893641,30
MaF3,0.125,0.125,0.004255909264077573,0.004484665081148473,0.0006493667549336375,30
MaF3,0.15,0.125,0.004478576526257359,0.004913479970933869,0.0011029941201926086,30
MaF4,0.1,0.1,0.01270175227526171,0.012824740288467093,0.00043304009766585055,30
MaF4,0.1,0.125,0.012691653614720393,0.012721107947854384,0.00019977548503601048,30
MaF4,0.1,0.15,0.012613652497134429,0.012759159290804812,0.0004331009511196158,30
MaF4,0.125,0.125,0.012578114522007976,0.012791919914220452,0.0008459119268427633,30
MaF4,0.15,0.125,0.012557581421253875,0.012606328415873063,0.00019534162662695556,30
MaF5,0.1,0.1,0.01277609016133239,0.6114247613697568,0.9145202050084968,30
MaF5,0.1,0.125,0.012884005455008823,0.8775137646749229,0.9889116019944302,30
MaF5,0.1,0.15,0.012762118481386142,0.4783683813120454,0.8440712560681536,30
MaF5,0.125,0.125,0.012817922299615814,0.6114351287608765,0.9145134210379803,30
MaF5,0.15,0.125,0.012883173683416863,0.6779649770969033,0.9407436833067409,30
MaF6,0.1,0.1,0.004055698102820096,0.004055204255040812,2.914725083392209e-05,30
MaF6,0.1,0.125,0.004063556785155027,0.004066707671424235,2.6949762959422595e-05,30
MaF6,0.1,0.15,0.004057066067050012,0.004064735038164168,2.975651091516644e-05,30
MaF6,0.125,0.125,0.004075428306447814,0.004070739894824814,3.1988018264212895e-05,30
MaF6,0.15,0.125,0.004062229676673542,0.004064559472245458,2.8195260574013406e-05,30
MaF7,0.1,0.1,0.004739382692781202,0.004762347276464626,9.167448679944939e-05,30
MaF7,0.1,0.125,0.004764141114979883,0.01935182448556001,0.07861758587793559,30
MaF7,0.1,0.15,0.004767999058365039,0.019380701336845947,0.07860932455540663,30
