Problem,R,C,IGD_Median,Count,IQR
WFG4_M2,0.3,0.07,0.01318104382774838,30,0.0004807164294266808
WFG4_M2,0.3,0.11,0.013021176053130926,30,0.0005142981938012579
WFG4_M2,0.3,0.16,0.012957375141897882,30,0.0002587802839799074
WFG4_M2,0.3,0.21,0.01324245752941431,30,0.0005686216446727128
WFG4_M2,0.3,0.27,0.013171538396742758,30,0.00039771558936634553
WFG4_M2,0.3,0.32,0.01346729698573209,30,0.0005931972538285209
WFG4_M2,0.3,0.42,0.01335783703295854,30,0.0005404746707248931
WFG4_M2,0.3,0.53,0.013365058284643176,30,0.0003439621922120186
WFG4_M2,0.3,0.64,0.013309834932656268,30,0.0004743120400836926
DTLZ7_M3,0.0,0.05,0.06012382811581035,30,0.0015383822857297433
DTLZ7_M3,0.0,0.07,0.06075483471380477,30,0.0021944830706905408
DTLZ7_M3,0.0,0.11,0.06025174878652305,30,0.001848811451948415
DTLZ7_M3,0.0,0.16,0.061354624735305285,30,0.0016048720123774188
DTLZ7_M3,0.0,0.21,0.060850405887429695,30,0.001888307433858337
DTLZ7_M3,0.0,0.27,0.060225209872487175,30,0.0012265076854171275
DTLZ7_M3,0.0,0.32,0.060257217177650875,30,0.0021424259921777322
DTLZ7_M3,0.0,0.42,0.06065071938486926,30,0.0018051255431560317
DTLZ7_M3,0.0,0.53,0.06040701198943158,30,0.0018477286543131244
DTLZ7_M3,0.0,0.64,0.06030747596119202,30,0.0016807862470740453
DTLZ7_M3,0.05,0.05,0.06009518668742135,30,0.001887836388363144
DTLZ7_M3,0.05,0.07,0.06039722891699274,30,0.0023718369189630398
DTLZ7_M3,0.05,0.11,0.05990746482815022,30,0.0014220100770168942
DTLZ7_M3,0.05,0.16,0.06028825681591815,30,0.0021525751540363847
DTLZ7_M3,0.05,0.21,0.06058616695714115,30,0.0018720869126644113
DTLZ7_M3,0.05,0.27,0.05994302141413546,30,0.0020501472923617065
DTLZ7_M3,0.05,0.32,0.06025021580222625,30,0.002559493274405175
DTLZ7_M3,0.05,0.42,0.05998908706898215,30,0.0015886337936389938
DTLZ7_M3,0.05,0.53,0.06004167382172781,30,0.0018012652262196713
DTLZ7_M3,0.05,0.64,0.06024197291643049,30,0.001446444839593032
DTLZ7_M3,0.075,0.05,0.05998717636870098,30,0.00197786006041141
DTLZ7_M3,0.075,0.07,0.06017098174506119,30,0.0017307356392587334
DTLZ7_M3,0.075,0.11,0.06017098174506119,30,0.0017307356392587334
DTLZ7_M3,0.075,0.16,0.06017098174506119,30,0.0017307356392587334
DTLZ7_M3,0.075,0.21,0.060353210264691454,30,0.0022895833897214196
DTLZ7_M3,0.075,0.27,0.060353210264691454,30,0.0022895833897214196
DTLZ7_M3,0.075,0.32,0.060353210264691454,30,0.0022895833897214196
DTLZ7_M3,0.075,0.42,0.06048943046311379,30,0.0019291699811312818
DTLZ7_M3,0.075,0.53,0.06048943046311379,30,0.0019291699811312818
DTLZ7_M3,0.075,0.64,0.06048943046311379,30,0.0019291699811312818
DTLZ7_M3,0.1,0.05,0.060142316208003394,30,0.0021532595089335874
DTLZ7_M3,0.1,0.07,0.060142316208003394,30,0.0021532595089335874
DTLZ7_M3,0.1,0.11,0.060142316208003394,30,0.0021532595089335874
DTLZ7_M3,0.1,0.16,0.06078478891258815,30,0.0010802716784184818
DTLZ7_M3,0.1,0.21,0.06078478891258815,30,0.0010802716784184818
DTLZ7_M3,0.1,0.27,0.06078478891258815,30,0.0010802716784184818
DTLZ7_M3,0.1,0.32,0.06066309113232843,30,0.0016824681209424222
DTLZ7_M3,0.1,0.42,0.06066309113232843,30,0.0016824681209424222
DTLZ7_M3,0.1,0.53,0.06066309113232843,30,0.0016824681209424222
DTLZ7_M3,0.1,0.64,0.060236838712418535,30,0.003471666016789929
DTLZ7_M3,0.125,0.05,0.060236838712418535,30,0.003471666016789929
DTLZ7_M3,0.125,0.07,0.060236838712418535,30,0.003471666016789929
DTLZ7_M3,0.125,0.11,0.06011993242253977,30,0.0019119354759073379
DTLZ7_M3,0.125,0.16,0.06011993242253977,30,0.0019119354759073379
DTLZ7_M3,0.125,0.21,0.06011993242253977,30,0.0019119354759073379
DTLZ7_M3,0.125,0.27,0.06080191935048025,30,0.0018872795399775544
DTLZ7_M3,0.125,0.32,0.06080191935048025,30,0.0018872795399775544
DTLZ7_M3,0.125,0.42,0.06080191935048025,30,0.0018872795399775544
DTLZ7_M3,0.125,0.53,0.05979255096857307,30,0.0015650757776703092
DTLZ7_M3,0.125,0.64,0.05979255096857307,30,0.0015650757776703092
DTLZ7_M3,0.15,0.05,0.05979255096857307,30,0.0015650757776703092
DTLZ7_M3,0.15,0.07,0.06034044953021298,30,0.0013362264445433147
DTLZ7_M3,0.15,0.11,0.06034044953021298,30,0.0013362264445433147
DTLZ7_M3,0.15,0.16,0.06034044953021298,30,0.0013362264445433147
DTLZ7_M3,0.15,0.21,0.0603737618092981,30,0.0022526722878579986
DTLZ7_M3,0.15,0.27,0.0603737618092981,30,0.0022526722878579986
DTLZ7_M3,0.15,0.32,0.0603737618092981,30,0.0022526722878579986
DTLZ7_M3,0.15,0.42,0.060029540023636876,30,0.0020609523681580436
DTLZ7_M3,0.15,0.53,0.060029540023636876,30,0.0020609523681580436
DTLZ7_M3,0.15,0.64,0.060029540023636876,30,0.0020609523681580436
DTLZ7_M3,0.2,0.05,0.06055164144001141,30,0.001799029234880789
DTLZ7_M3,0.2,0.07,0.06055164144001141,30,0.001799029234880789
DTLZ7_M3,0.2,0.11,0.06055164144001141,30,0.001799029234880789
DTLZ7_M3,0.2,0.16,0.0603195986121812,30,0.0018790965119564532
DTLZ7_M3,0.2,0.21,0.0603195986121812,30,0.0018790965119564532
DTLZ7_M3,0.2,0.27,0.0603195986121812,30,0.0018790965119564532
DTLZ7_M3,0.2,0.32,0.06052701912030313,30,0.001993056039762714
DTLZ7_M3,0.2,0.42,0.06052701912030313,30,0.001993056039762714
DTLZ7_M3,0.2,0.53,0.06052701912030313,30,0.001993056039762714
DTLZ7_M3,0.2,0.64,0.0602949035423883,30,0.002938843888492672
DTLZ7_M3,0.25,0.05,0.0602949035423883,30,0.002938843888492672
DTLZ7_M3,0.25,0.07,0.0602949035423883,30,0.002938843888492672
DTLZ7_M3,0.25,0.11,0.06048266531401815,30,0.0019029923202618024
