analysis_mode,comparison,ivf_algo,base_algo,problem,M,group,metric,test,n_ivf,n_base,n_pairs,p_value,a12_raw,a12_ivf,median_ivf,median_base,p_adj,significant,sign
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ3,3,DTLZ,IGD,wilcoxon,30,30,30,0.0050126127898693085,0.2833333333333333,0.7166666666666667,0.05449525248344895,0.0546063861307204,0.01826023230595248,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ4,3,DTLZ,IGD,wilcoxon,30,30,30,0.017453668639063835,0.3022222222222222,0.6977777777777778,0.054465152393706195,0.0544712174846049,0.04450685502961278,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ5,3,DTLZ,IGD,wilcoxon,30,30,30,0.370740607380867,0.5344444444444445,0.4655555555555555,0.0128576074283162,0.0126101550199901,0.49757292043221624,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ6,3,DTLZ,IGD,wilcoxon,30,30,30,0.9515264742076397,0.4855555555555556,0.5144444444444445,0.019015649242571,0.019477480179245547,0.9870270489156246,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ7,3,DTLZ,IGD,wilcoxon,30,30,30,0.17059839516878128,0.4122222222222222,0.5877777777777777,0.0757161091490364,0.07738583436072495,0.29001727178692815,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF1,3,MaF,IGD,wilcoxon,30,30,30,0.08793856762349606,0.6222222222222222,0.37777777777777777,0.060966349801351155,0.05983711376662865,0.16610618328882587,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF2,3,MaF,IGD,wilcoxon,30,30,30,0.6120056137442589,0.4766666666666667,0.5233333333333333,0.0359745333030978,0.0359815653190223,0.7258671232780745,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF3,3,MaF,IGD,wilcoxon,30,30,30,2.7623027563095093e-06,0.15666666666666668,0.8433333333333333,0.046315730596277596,0.04696051502703415,1.760968007147312e-05,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF4,3,MaF,IGD,wilcoxon,30,30,30,0.5291051845997572,0.4533333333333333,0.5466666666666666,0.33746818038370974,0.33960477844927983,0.6581552296240882,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF5,3,MaF,IGD,wilcoxon,30,30,30,0.2710056286305189,0.5455555555555556,0.45444444444444443,0.2597580896988205,0.2597744172277292,0.3735482989231477,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF6,3,MaF,IGD,wilcoxon,30,30,30,0.6554384250193834,0.48444444444444446,0.5155555555555555,0.0150425254671798,0.01568062430432985,0.7597127199088307,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF7,3,MaF,IGD,wilcoxon,30,30,30,0.5158484429121017,0.43444444444444447,0.5655555555555556,0.07707450227892679,0.07715833975814146,0.6581552296240882,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG1,3,WFG,IGD,wilcoxon,30,30,30,0.06666470877826214,0.6022222222222222,0.3977777777777778,0.14822488957280328,0.14807084432823736,0.14166250615380704,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG2,3,WFG,IGD,wilcoxon,30,30,30,0.8078304156661034,0.4711111111111111,0.528888888888889,0.1644808222367961,0.16475953705354796,0.9155411377549172,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG3,3,WFG,IGD,wilcoxon,30,30,30,0.9676735773682594,0.48,0.52,0.10569325791138605,0.1058570678914655,0.9870270489156246,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG4,3,WFG,IGD,wilcoxon,30,30,30,0.9676735773682594,0.5022222222222222,0.49777777777777776,0.22093086410299467,0.22092809884264908,0.9870270489156246,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG5,3,WFG,IGD,wilcoxon,30,30,30,0.21293285302817822,0.44333333333333336,0.5566666666666666,0.2298827573733389,0.2298838637100314,0.33936173451365903,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG6,3,WFG,IGD,wilcoxon,30,30,30,1.4193356037139893e-06,0.20777777777777778,0.7922222222222222,0.23178447808096309,0.23805717679337518,1.0340873684201921e-05,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG7,3,WFG,IGD,wilcoxon,30,30,30,0.5291051845997572,0.45444444444444443,0.5455555555555556,0.22107502970860216,0.22108237909414624,0.6581552296240882,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG8,3,WFG,IGD,wilcoxon,30,30,30,0.0803273618221283,0.3088888888888889,0.6911111111111111,0.27893233661051864,0.28007919676757664,0.1575652097280209,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG9,3,WFG,IGD,wilcoxon,30,30,30,0.22064675763249397,0.41333333333333333,0.5866666666666667,0.22107751747572205,0.2214139661894858,0.34099953452294524,False,=
primary_paired,IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,DTLZ1,2,DTLZ,HV,wilcoxon,30,30,30,0.7000329215079546,0.5344444444444445,0.5344444444444445,0.5814773247412564,0.5814449342774568,0.8277209299306075,False,=
primary_paired,IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,DTLZ2,2,DTLZ,HV,wilcoxon,30,30,30,0.24494642950594425,0.6022222222222222,0.6022222222222222,0.3465827137061309,0.34650945029598784,0.4626765890667836,False,=
primary_paired,IVFNSGAII_vs_NSGAII,IVFNSGAII,NSGAII,DTLZ3,2,DTLZ,HV,wilcoxon,30,30,30,0.7921590935438871,0.5388888888888889,0.5388888888888889,0.3457084104387934,0.34565181408578033,0.8571923294161655,False,=
