comparison,metric,tau,algo,fe_norm,fraction_solved,ci_low,ci_high,n_traces
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.4545454545454546,0.9777777777777777,0.9705882352941176,0.9843300653594771,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.4636363636363636,0.9777777777777777,0.9705882352941176,0.9843300653594771,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.47272727272727266,0.9784313725490196,0.9712418300653595,0.984967320261438,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.4818181818181818,0.9784313725490196,0.9712418300653595,0.984967320261438,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.49090909090909085,0.9784313725490196,0.9712418300653595,0.984967320261438,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5,0.9784313725490196,0.9712418300653595,0.984967320261438,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.509090909090909,0.9790849673202614,0.9718954248366013,0.9856209150326798,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5181818181818182,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5272727272727272,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5363636363636364,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5454545454545454,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5545454545454546,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5636363636363636,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5727272727272728,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5818181818181818,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.5909090909090909,0.9797385620915032,0.9725490196078431,0.9862745098039216,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.6,0.9803921568627451,0.973202614379085,0.9869281045751634,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.609090909090909,0.9803921568627451,0.973202614379085,0.9869281045751634,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.6181818181818182,0.9803921568627451,0.973202614379085,0.9869281045751634,1530
