Phase,ConfigID,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,ProblemCoverage,MeanCombinedRank,MeanNormRankIGD,MeanNormRankHV,MeanIGDMedian,MeanHVMedian,ExpectedProblems,CompleteCoverage
C,C26,0.225,0.12,2,0.3,0.1,0,1,Local refine EARL around center,12,0.29523809523809524,0.30476190476190473,0.2857142857142857,0.0759287556807616,0.521009963903509,12,True
C,C13,0.2,0.12,2,0.0,0.0,0,1,Local refine AR around center,12,0.3130952380952381,0.33809523809523806,0.2880952380952381,0.09611020095890033,0.5123986276056024,12,True
C,C33,0.225,0.21,2,0.0,0.0,0,1,Local refine AR around center,12,0.3416666666666666,0.3333333333333333,0.35000000000000003,0.07575920513359559,0.5211766347109431,12,True
C,C22,0.2,0.21,2,0.3,0.1,0,1,Local refine EARL around center,12,0.3428571428571428,0.40238095238095234,0.2833333333333333,0.07593114518026972,0.5211058702367578,12,True
C,C18,0.2,0.16,2,0.3,0.1,0,1,Local refine EARL around center,12,0.35595238095238096,0.34761904761904766,0.36428571428571427,0.07592562369441934,0.5210091962720101,12,True
C,C17,0.2,0.16,2,0.0,0.0,0,1,Local refine AR around center,12,0.3821428571428571,0.4452380952380952,0.3190476190476191,0.0759898178969287,0.52103678554921,12,True
C,C30,0.225,0.16,2,0.3,0.1,0,1,Local refine EARL around center,12,0.38809523809523805,0.4452380952380952,0.33095238095238094,0.09639993871493215,0.5123485830997696,12,True
C,C05,0.175,0.16,2,0.0,0.0,0,1,Local refine AR around center,12,0.3904761904761905,0.3761904761904762,0.4047619047619047,0.1277653866294923,0.5123725446835855,12,True
C,C19,0.2,0.16,2,0.5,0.2,0,1,Local refine EARM around center,12,0.39285714285714285,0.32857142857142857,0.45714285714285713,0.1795736009851161,0.5035813628655524,12,True
C,C25,0.225,0.12,2,0.0,0.0,0,1,Local refine AR around center,12,0.39285714285714285,0.4261904761904762,0.3595238095238095,0.12834087082482873,0.5123522494045397,12,True
C,C21,0.2,0.21,2,0.0,0.0,0,1,Local refine AR around center,12,0.3964285714285714,0.40952380952380946,0.3833333333333333,0.07574452825462917,0.5209892297087765,12,True
C,C31,0.225,0.16,2,0.5,0.2,0,1,Local refine EARM around center,12,0.3976190476190476,0.3833333333333333,0.41190476190476194,0.07588356655622715,0.5209674253291932,12,True
C,C09,0.175,0.21,2,0.0,0.0,0,1,Local refine AR around center,12,0.4166666666666667,0.4261904761904762,0.4071428571428572,0.07612257722136853,0.5209583490588129,12,True
C,C15,0.2,0.12,2,0.5,0.2,0,1,Local refine EARM around center,12,0.41904761904761906,0.35714285714285715,0.48095238095238096,0.11621424863743879,0.503586844062418,12,True
C,C29,0.225,0.16,2,0.0,0.0,0,1,Local refine AR around center,12,0.4285714285714286,0.48333333333333334,0.3738095238095238,0.11677417127218692,0.5035799040832439,12,True
C,C34,0.225,0.21,2,0.3,0.1,0,1,Local refine EARL around center,12,0.4380952380952381,0.4904761904761905,0.3857142857142857,0.17990629865588817,0.5035892157275984,12,True
C,C10,0.175,0.21,2,0.3,0.1,0,1,Local refine EARL around center,12,0.45,0.43333333333333335,0.4666666666666666,0.07568118807452885,0.5209131077296905,12,True
C,C27,0.225,0.12,2,0.5,0.2,0,1,Local refine EARM around center,12,0.45476190476190476,0.4714285714285715,0.4380952380952381,0.17992169983485284,0.5035464072486785,12,True
C,C06,0.175,0.16,2,0.3,0.1,0,1,Local refine EARL around center,12,0.4666666666666666,0.5142857142857143,0.41904761904761906,0.07606108364920901,0.5209178868782033,12,True
C,C03,0.175,0.12,2,0.5,0.2,0,1,Local refine EARM around center,12,0.46666666666666673,0.42142857142857143,0.511904761904762,0.07582032441062679,0.5208934301458585,12,True
C,C14,0.2,0.12,2,0.3,0.1,0,1,Local refine EARL around center,12,0.47380952380952385,0.4761904761904762,0.47142857142857136,0.11656543508463892,0.5035511778521964,12,True
C,C23,0.2,0.21,2,0.5,0.2,0,1,Local refine EARM around center,12,0.5011904761904762,0.4928571428571428,0.5095238095238095,0.11636651010445147,0.5035750708118968,12,True
C,C01,0.175,0.12,2,0.0,0.0,0,1,Local refine AR around center,12,0.5226190476190476,0.580952380952381,0.46428571428571425,0.09656197747879641,0.5122110744776384,12,True
