Phase,ConfigID,ProblemTag,ProblemName,M,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,Runs,IGD_Median,IGD_Mean,IGD_IQR,HV_Median,HV_Mean,HV_IQR
A,A06,ZDT1_M2,ZDT1,2,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.003946494089673619,0.003929955853255298,7.734218199071958e-05,0.7203551062354066,0.7203447961492427,0.00011516476658235408
A,A06,ZDT6_M2,ZDT6,2,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.0030678910270518908,0.0030705643584475724,2.6619311189448203e-05,0.38891844742786785,0.38891819601643746,2.4287111962784103e-05
A,A07,DTLZ1_M3,DTLZ1,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.02022809703974708,0.020236125434315463,0.00015546718843931218,0.8418267590391842,0.841506267161963,0.001408836206120312
A,A07,DTLZ2_M3,DTLZ2,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05392000980286858,0.05404243252994018,0.0005971146065814475,0.556783917366357,0.5561841673748423,0.0026116624446503867
A,A07,DTLZ4_M3,DTLZ4,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.05517086055241199,0.32193508450194597,0.4863597809902878,0.553951595069861,0.4328919096356922,0.20877909616343104
A,A07,DTLZ7_M3,DTLZ7,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.06012148394421665,0.06004865985703321,0.001176773758918108,0.27724683618841484,0.2770666360784397,0.0008883073922401064
A,A07,MaF1_M3,MaF1,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.04146355251107179,0.04142670631383006,0.0005122062840843267,0.21909175365536487,0.21920922879914623,0.0009801355446518445
A,A07,MaF5_M3,MaF5,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24494327986552195,0.6714716609045069,1.2482832805649122,0.5543590574609243,0.492720323634574,0.20839301012806882
A,A07,WFG2_M3,WFG2,3,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.1737685778848711,0.174020463969388,0.0050222693214168335,0.9296756250451998,0.9295696089291822,0.001529020321704877
A,A07,WFG4_M2,WFG4,2,0.05,0.16,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012876396411334201,0.012871318772954525,0.00022126808392953015,0.3469787226804287,0.34697926136969615,0.00019295772438843173
