algo,problem,group,M,D,run,IGD,HV
IVFNSGAII,DTLZ4,DTLZ,2,11,4017,0.0050944897615239,0.3464304809595971
IVFNSGAII,DTLZ4,DTLZ,2,11,4018,0.7420913395391106,0.0909090884967965
IVFNSGAII,DTLZ4,DTLZ,2,11,4019,0.0048052400559071,0.3468555990132717
IVFNSGAII,DTLZ4,DTLZ,2,11,4020,0.0052326913589845,0.34633517022584
IVFNSGAII,DTLZ4,DTLZ,2,11,4021,0.0048369984537126,0.3468007042603614
IVFNSGAII,DTLZ4,DTLZ,2,11,4022,0.742091338992484,0.0909090898360731
IVFNSGAII,DTLZ4,DTLZ,2,11,4023,0.7420913404056111,0.0909090863738049
IVFNSGAII,DTLZ4,DTLZ,2,11,4024,0.0052015268081301,0.3466974948501671
IVFNSGAII,DTLZ4,DTLZ,2,11,4025,0.0051250633708222,0.3467391953064058
IVFNSGAII,DTLZ4,DTLZ,2,11,4026,0.7420913390101136,0.0909090897928774
IVFNSGAII,DTLZ4,DTLZ,2,11,4027,0.0051817264406909,0.3464439051311121
IVFNSGAII,DTLZ4,DTLZ,2,11,4028,0.0048695841915248,0.3466812909692638
IVFNSGAII,DTLZ4,DTLZ,2,11,4029,0.0048501400632973,0.3468335638224066
IVFNSGAII,DTLZ4,DTLZ,2,11,4030,0.0049854679088492,0.346611734115914
IVFNSGAII,DTLZ4,DTLZ,3,12,4001,0.9459249267867876,0.09090908922144
IVFNSGAII,DTLZ4,DTLZ,3,12,4002,0.0683682545251271,0.5336471263103326
IVFNSGAII,DTLZ4,DTLZ,3,12,4003,0.0649041321212122,0.5371590921386977
IVFNSGAII,DTLZ4,DTLZ,3,12,4004,0.0648638123908951,0.538409128024964
IVFNSGAII,DTLZ4,DTLZ,3,12,4005,0.06717477099372,0.5373799779320835
IVFNSGAII,DTLZ4,DTLZ,3,12,4006,0.0681031725044993,0.5401061145666217
IVFNSGAII,DTLZ4,DTLZ,3,12,4007,0.0627942208913215,0.5395168079352743
IVFNSGAII,DTLZ4,DTLZ,3,12,4008,0.0621838036606327,0.5414672554878253
IVFNSGAII,DTLZ4,DTLZ,3,12,4009,0.0653956205543103,0.5409637663476603
IVFNSGAII,DTLZ4,DTLZ,3,12,4010,0.0723531973364346,0.522956311816582
IVFNSGAII,DTLZ4,DTLZ,3,12,4011,0.0652029804719622,0.5296524998604553
IVFNSGAII,DTLZ4,DTLZ,3,12,4012,0.0665190138593388,0.5394275834678783
IVFNSGAII,DTLZ4,DTLZ,3,12,4013,0.065389835874031,0.538697684978709
IVFNSGAII,DTLZ4,DTLZ,3,12,4014,0.0659746552338415,0.5334998471550365
IVFNSGAII,DTLZ4,DTLZ,3,12,4015,0.9459249261410932,0.0909090904625435
IVFNSGAII,DTLZ4,DTLZ,3,12,4016,0.0729463301828637,0.5368347537145275
IVFNSGAII,DTLZ4,DTLZ,3,12,4017,0.0679041549069569,0.5375848603001255
IVFNSGAII,DTLZ4,DTLZ,3,12,4018,0.0712187130976096,0.5302644528347014
IVFNSGAII,DTLZ4,DTLZ,3,12,4019,0.0651784165110089,0.5403689440139346
IVFNSGAII,DTLZ4,DTLZ,3,12,4020,0.0668704755605125,0.5335366447922161
IVFNSGAII,DTLZ4,DTLZ,3,12,4021,0.0669608226091456,0.5317336376650748
IVFNSGAII,DTLZ4,DTLZ,3,12,4022,0.0680332797112814,0.5342534709718538
IVFNSGAII,DTLZ4,DTLZ,3,12,4023,0.0662450083325669,0.5315424007375247
IVFNSGAII,DTLZ4,DTLZ,3,12,4024,0.065939217338772,0.5328074716881808
IVFNSGAII,DTLZ4,DTLZ,3,12,4025,0.0675866914406213,0.5396349182183665
IVFNSGAII,DTLZ4,DTLZ,3,12,4026,0.0676851818741275,0.5286865468903937
IVFNSGAII,DTLZ4,DTLZ,3,12,4027,0.0681264830836924,0.5357516586978994
IVFNSGAII,DTLZ4,DTLZ,3,12,4028,0.0670215945649875,0.5381621043719675
IVFNSGAII,DTLZ4,DTLZ,3,12,4029,0.071714157062871,0.535984463980665
IVFNSGAII,DTLZ4,DTLZ,3,12,4030,0.0696224376897203,0.5229050136404368
IVFNSGAII,DTLZ5,DTLZ,2,11,4001,0.0050259784578572,0.3464959748922441
IVFNSGAII,DTLZ5,DTLZ,2,11,4002,0.0050584282988532,0.3465158171518191
