case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2,label,family,m_obj,outcome_ctrl_vs_ivf,outcome_ctrl_vs_spea2,wtl_ctrl_vs_ivf,wtl_ctrl_vs_spea2
dtlz2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004116617290879,4.918582903860706e-05,0.0041178426437836,4.430418928073627e-05,0.0041767659649672,6.80222026040074e-05,0.3173105078629141,0.7552651206767836,0.4705555555555555,5.973502993583679e-06,2.437189221382141e-05,0.1977777777777777,HELPS,dtlz,2,tie,win,T,W
dtlz2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0531638747149858,0.0008588144023772,0.0531638747149858,0.0008588144023772,0.0537596570900929,0.0006275079493126,1.0,1.0,0.5,0.001864006742835,0.003520901625355,0.2566666666666666,HELPS,dtlz,3,tie,win,T,W
dtlz3_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0040410219353589,4.598078618541033e-05,0.0040410219353589,4.598078618541033e-05,0.0041752569279214,0.0002010200482379,1.0,1.0,0.5,8.009374141693115e-08,5.835401160376412e-07,0.0588888888888888,HELPS,dtlz,2,tie,win,T,W
dtlz3_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0526892664342734,0.0008639418688343,0.0526892664342734,0.0008639418688343,0.0530864591631734,0.0010562310323006,1.0,1.0,0.5,0.0081429798156023,0.0136161301834661,0.3255555555555555,HELPS,dtlz,3,tie,win,T,W
dtlz4_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0041203917405448,8.652092014396675e-05,0.0041048893216249,6.817728497730997e-05,0.0041563783419502,8.00584692957837e-05,0.045666504865132,0.1663565534372666,0.5566666666666666,0.0605652313679456,0.0823687146604061,0.3288888888888889,HELPS,dtlz,2,tie,tie,T,T
dtlz4_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0535599582327416,0.0006152572008598,0.0535599582327416,0.0006152572008598,0.0544120703144241,0.3643637104896175,1.0,1.0,0.5,2.60770320892334e-08,2.659857273101807e-07,0.1,HELPS,dtlz,3,tie,win,T,W
dtlz5_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004129311042093,7.041441550443943e-05,0.004129311042093,7.06186183120315e-05,0.0041675631299764,3.896140861283249e-05,0.3173105078629141,0.7552651206767836,0.495,0.0003449581563472,0.0008796432986855,0.1955555555555555,HELPS,dtlz,2,tie,win,T,W
dtlz5_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0042962403105339,0.0001165037494154,0.0042962403105339,0.0001165037494154,0.0043553127656036,0.0001456454120194,1.0,1.0,0.5,0.0005548261106014,0.0012861878018487,0.2522222222222222,HELPS,dtlz,3,tie,win,T,W
dtlz6_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0040847334840182,3.376299028895642e-05,0.0040546899232996,3.534671109815986e-05,0.0040881881691559,3.743850287476428e-05,0.0001302880642562,0.001107448546178,0.8427777777777777,0.7456546742469072,0.7530373937939063,0.4877777777777777,HELPS,dtlz,2,loss,tie,L,T
dtlz6_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0040811837187248,4.6032626203005786e-05,0.0040559686085113,3.1081658616673e-05,0.004090249461772,3.888665355756584e-05,0.0292308403073736,0.110427618938967,0.6883333333333334,0.2054096926003694,0.2524311884968395,0.39,HELPS,dtlz,3,tie,tie,T,T
