problem,M,ivf_algo,base_algo,metric,p_value,a12,a12_label,n_pairs,median_ivf,median_base,p_adj
DTLZ5,3,IVFNSGAII,NSGAII,Final_IGD,0.6554384250193834,0.5677777777777778,negligible,30,0.00596916234060795,0.0058265363712605,0.751176621932327
DTLZ5,3,IVFNSGAII,NSGAII,Best_IGD,0.09194962680339813,0.6177777777777778,negligible,30,0.0054529332001277495,0.00537590029933515,0.19539295695722103
DTLZ5,3,IVFNSGAII,NSGAII,AUC_HV,0.004338232800364494,0.7077777777777777,small,30,17920.72405271102,17915.01738685617,0.012642849875347955
DTLZ5,3,IVFNSGAII,NSGAII,Final_HV,0.338741784915328,0.5366666666666666,negligible,30,0.19914026040279065,0.19913948408828214,0.5235100312327796
DTLZ5,3,IVFNSGAII,NSGAII,Best_HV,0.07672121562063694,0.6277777777777778,negligible,30,0.19936171897427965,0.1993288871879136,0.13974221416616012
DTLZ6,2,IVFNSGAIII,NSGAIII,AUC_IGD,0.9192965272814035,0.4066666666666667,negligible,30,356.99444043141125,357.030706907561,0.9666829462134346
DTLZ6,2,IVFNSGAIII,NSGAIII,Final_IGD,1.862645149230957e-09,0.0,large,30,0.00396587390878545,0.0039659708133419,3.799796104431152e-08
DTLZ6,2,IVFNSGAIII,NSGAIII,Best_IGD,1.862645149230957e-09,0.0,large,30,0.00396587390878545,0.0039659708133419,2.71414007459368e-08
DTLZ6,2,IVFNSGAIII,NSGAIII,AUC_HV,0.9676735773682594,0.5888888888888889,negligible,30,31249.313329410776,31249.28154234304,0.9676735773682594
DTLZ6,2,IVFNSGAIII,NSGAIII,Final_HV,0.6701805889606476,0.5622222222222222,negligible,30,0.34721516468515234,0.3472151579376018,0.7846522856462788
DTLZ6,2,IVFNSGAIII,NSGAIII,Best_HV,0.10943205840885639,0.4111111111111111,negligible,30,0.34721517092482046,0.3472151730379961,0.17717571361433893
DTLZ6,2,IVFNSGAII,NSGAII,AUC_IGD,0.40449450351297855,0.5444444444444444,negligible,30,509.76891609656997,509.4987892623455,0.5811047796947016
DTLZ6,2,IVFNSGAII,NSGAII,Final_IGD,0.18396909348666668,0.5877777777777777,negligible,30,0.00568286809664615,0.00563582980244875,0.37529695071280006
DTLZ6,2,IVFNSGAII,NSGAII,Best_IGD,0.19092952087521553,0.5833333333333334,negligible,30,0.00536975327917715,0.00529045035367865,0.31925919884052434
DTLZ6,2,IVFNSGAII,NSGAII,AUC_HV,0.4399667661637068,0.4288888888888889,negligible,30,31174.61603134646,31177.343414397437,0.5540322240580011
DTLZ6,2,IVFNSGAII,NSGAII,Final_HV,0.871207794174552,0.5177777777777778,negligible,30,0.3464637536554893,0.34643802349006647,0.9032264724373817
DTLZ6,2,IVFNSGAII,NSGAII,Best_HV,0.6120056137442589,0.45111111111111113,negligible,30,0.34668268083491305,0.34671479542171596,0.7093701432035727
DTLZ6,3,IVFNSGAIII,NSGAIII,AUC_IGD,0.31839608028531075,0.5711111111111111,negligible,30,1705.1411554981441,1688.4763077551333,0.49963692598618
