Grupo,Problema,M,instance,instance_label,Algoritmo,value,score,metric
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),MOEAD,0.013102320983757201,0.9576964995083833,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),NSGAII,0.01595066348793275,0.8194025641648138,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),NSGAIII,0.0122310256646506,1.0,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),SPEA2,0.01285372847248825,0.9697662687267712,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),SPEA2SDE,0.032827319327849144,0.0,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),AGEMOEAII,0.2587839313538155,0.8966420349055113,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),ARMOEA,0.2597748640049835,0.8888884505867887,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),IVFSPEA2,0.24755897503234198,0.9844720657455857,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),MFOSPEA2,0.24557445581834,1.0,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),MOEAD,0.296568995490222,0.6009915884047874,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),NSGAII,0.30056859000416547,0.5696966328212688,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),NSGAIII,0.259786125537837,0.8888003343617006,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),SPEA2,0.24704073000052001,0.9885270906226591,IGD
MaF,MaF5,M3,MaF5__M3,MaF5 (M3),SPEA2SDE,0.37337762535055297,0.0,IGD
MaF,MaF6,M2,MaF6__M2,MaF6 (M2),AGEMOEAII,0.0044888200006096505,0.9136981912292944,IGD
MaF,MaF6,M2,MaF6__M2,MaF6 (M2),ARMOEA,0.0039667610087074,0.9998594930348564,IGD
MaF,MaF6,M2,MaF6__M2,MaF6 (M2),IVFSPEA2,0.0040509652012231,0.9859623224905795,IGD
MaF,MaF6,M2,MaF6__M2,MaF6 (M2),MFOSPEA2,0.0040760679999338,0.9818193236160733,IGD
MaF,MaF6,M2,MaF6__M2,MaF6 (M2),MOEAD,0.003965909664507151,1.0,IGD
MaF,MaF6,M2,MaF6__M2,MaF6 (M2),NSGAII,0.00496202570577085,0.8355997000416511,IGD
MaF,MaF6,M2,MaF6__M2,MaF6 (M2),NSGAIII,0.00396609095403995,0.9999700797373631,IGD
