algo,problem,M,run,n_checkpoints,fe_min,fe_max,AUC_IGD,AUC_HV,Final_IGD,Final_HV,Best_IGD,Best_HV,TTT_igd_x100,TTT_igd_x50,TTT_igd_x20,TTT_igd_x10,TTT_igd_x5,TTT_igd_x3,TTT_igd_x2,TTT_igd_x1.5,TTT_igd_x1.2,TTT_igd_x1.0
IVFNSGAII,DTLZ1,3,4028,10,10000.0,100000.0,2488.3317936670032,74176.72303697023,0.026108418779257,0.8291555421049193,0.0249063122443493,0.83069000583504,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,80000.0
IVFNSGAII,DTLZ1,3,4029,10,10000.0,100000.0,2410.265062133961,74116.48195463239,0.0266320002651508,0.8280351491748088,0.0249650039066044,0.8280431374594887,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,50000.0
IVFNSGAII,DTLZ1,3,4030,10,10000.0,100000.0,4051.941676591703,70355.0945501,0.0291352219316192,0.8245292271088912,0.0267619046178701,0.8295493591048876,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,70000.0
IVFNSGAII,DTLZ2,2,4001,10,10000.0,100000.0,459.09630969617757,31190.60260519713,0.0049651206923607,0.346614073174849,0.0047581097274036,0.3467880413649459,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,70000.0
IVFNSGAII,DTLZ2,2,4002,10,10000.0,100000.0,464.1349167852735,31192.39127267139,0.005050239559229,0.3466511269402866,0.0048669675374312,0.3467973553382005,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,50000.0
IVFNSGAII,DTLZ2,2,4003,10,10000.0,100000.0,460.044453306301,31196.13598986826,0.0052039896628939,0.3464195096997449,0.0048146863909542,0.3468137607334115,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,40000.0
IVFNSGAII,DTLZ2,2,4004,10,10000.0,100000.0,458.6180071531235,31193.960186530494,0.0054111470871521,0.3466922054071464,0.004819007155369,0.3467830250716904,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
IVFNSGAII,DTLZ2,2,4005,10,10000.0,100000.0,459.7071514187256,31195.785634182183,0.0048727626392106,0.3464761143714285,0.0048286373357568,0.3470334316906707,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,50000.0
IVFNSGAII,DTLZ2,2,4006,10,10000.0,100000.0,459.64084946836994,31206.73645289216,0.0051543551767989,0.3463920898078967,0.0047537097219921,0.3469908704420716,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,30000.0
IVFNSGAII,DTLZ2,2,4007,10,10000.0,100000.0,457.03578265359454,31193.86688851551,0.0049328766503562,0.3468018500565632,0.0048643708618863,0.3468018500565632,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,60000.0
IVFNSGAII,DTLZ2,2,4008,10,10000.0,100000.0,460.81369297743856,31195.86841376654,0.0051385127788339,0.3465376894252946,0.0048638057263873,0.3468788204765018,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,40000.0
IVFNSGAII,DTLZ2,2,4009,10,10000.0,100000.0,456.93813516175646,31197.180507186673,0.0048042723402834,0.3467599690984764,0.0048042723402834,0.3468110193268083,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,100000.0
IVFNSGAII,DTLZ2,2,4010,10,10000.0,100000.0,457.999295810137,31191.798463170195,0.0052030296051723,0.3465846178281496,0.0047131541217144,0.3468758937964804,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,80000.0
IVFNSGAII,DTLZ2,2,4011,10,10000.0,100000.0,458.181367091845,31202.560803204095,0.0051681492215766,0.3464704699569225,0.0049049091151521,0.3469434725362348,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0
IVFNSGAII,DTLZ2,2,4012,10,10000.0,100000.0,462.53158764745046,31191.259028943816,0.0051849612269219,0.3466332963015808,0.0049361473004045,0.346842407941921,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,90000.0
IVFNSGAII,DTLZ2,2,4013,10,10000.0,100000.0,459.8242878339395,31194.002947311357,0.0052227092548525,0.3463007517636453,0.0049185643680278,0.3467845702972247,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
IVFNSGAII,DTLZ2,2,4014,10,10000.0,100000.0,458.31504895161896,31185.61332831682,0.0049878209192761,0.346731579593857,0.0049060169372998,0.3467467605677046,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0
IVFNSGAII,DTLZ2,2,4015,10,10000.0,100000.0,451.002235715216,31198.710203376748,0.0049738956753442,0.3468329698037096,0.0047621131844468,0.347004365290865,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,40000.0
IVFNSGAII,DTLZ2,2,4016,10,10000.0,100000.0,468.65081630109995,31181.44053054387,0.0051960052412391,0.3467725337675436,0.0049868636956172,0.3468463817376493,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0
IVFNSGAII,DTLZ2,2,4017,10,10000.0,100000.0,468.2944733740575,31186.316845848014,0.0054191351492634,0.3464785407303721,0.0049024963997778,0.3467199728655221,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,60000.0
IVFNSGAII,DTLZ2,2,4018,10,10000.0,100000.0,465.759312648808,31185.556162854657,0.0049384359525797,0.3465808095841122,0.0047913280609054,0.3466895641845663,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0
IVFNSGAII,DTLZ2,2,4019,10,10000.0,100000.0,458.3468118331865,31188.386793986767,0.0050976087003939,0.3465323608202901,0.0047433713495996,0.3467771837152941,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,30000.0
IVFNSGAII,DTLZ2,2,4020,10,10000.0,100000.0,463.507122068089,31200.113469869204,0.0048982088803975,0.3465543115888941,0.0047683964735111,0.3469243845303261,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,50000.0
IVFNSGAII,DTLZ2,2,4021,10,10000.0,100000.0,454.39417671977304,31194.491969700674,0.0048880779816539,0.3467805270071114,0.0047018032164059,0.3468048252672986,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,60000.0
IVFNSGAII,DTLZ2,2,4022,10,10000.0,100000.0,459.0705582665835,31188.361206953694,0.0054003148335272,0.3464164172644816,0.0048376544686155,0.3469782913299701,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,60000.0
IVFNSGAII,DTLZ2,2,4023,10,10000.0,100000.0,463.154365118645,31199.424409663985,0.0053569549368317,0.3464158210135551,0.004889862116943,0.3469096000934629,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,40000.0
IVFNSGAII,DTLZ2,2,4024,10,10000.0,100000.0,454.79745155864543,31195.76388548272,0.0050627169978942,0.3467738972091503,0.0048883791836057,0.3469569025838367,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,90000.0
IVFNSGAII,DTLZ2,2,4025,10,10000.0,100000.0,446.530072614075,31198.54648648236,0.0048910661166059,0.346720544634144,0.0047950982319357,0.3468685504863122,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,90000.0
IVFNSGAII,DTLZ2,2,4026,10,10000.0,100000.0,452.4053740700055,31194.93525368174,0.0054069134521643,0.3461220834530182,0.0047855997989803,0.346842437683597,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,50000.0
IVFNSGAII,DTLZ2,2,4027,10,10000.0,100000.0,448.41394500628996,31197.560716393746,0.0049465726283097,0.3467744761351335,0.0049175238160377,0.3469553889096318,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,60000.0
IVFNSGAII,DTLZ2,2,4028,10,10000.0,100000.0,458.889682437851,31192.982308292325,0.0053231182386058,0.3463791065897832,0.004845057127595,0.3467333418984932,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0
IVFNSGAII,DTLZ2,2,4029,10,10000.0,100000.0,450.67724247765346,31198.946793451567,0.0049371069007646,0.346558330749664,0.0048767434423049,0.3468851507661358,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,90000.0
IVFNSGAII,DTLZ2,2,4030,10,10000.0,100000.0,458.6458796233496,31202.844001878027,0.0052553981026435,0.3467487585090129,0.004916575654876,0.3469247627705581,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,30000.0
IVFNSGAII,DTLZ2,3,4001,10,10000.0,100000.0,6390.006861611398,47646.16376222241,0.0716363097964574,0.5331610867479071,0.0678429741460792,0.5331610867479071,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,60000.0
IVFNSGAII,DTLZ2,3,4002,10,10000.0,100000.0,6235.432853851192,47756.45163340654,0.0723188307348303,0.5341662344736172,0.0658732859920872,0.539367544638111,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,40000.0
IVFNSGAII,DTLZ2,3,4003,10,10000.0,100000.0,6340.839942241151,47851.97517083034,0.0680710200870965,0.52536303754746,0.0642748484890272,0.5369277762965459,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
IVFNSGAII,DTLZ2,3,4004,10,10000.0,100000.0,6099.960597475851,47963.75800087395,0.0694008225524196,0.5327928240149031,0.0625224229089985,0.53835271622235,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,70000.0
IVFNSGAII,DTLZ2,3,4005,10,10000.0,100000.0,6211.170415307667,47776.94557902915,0.0667861843586271,0.5337000625891404,0.0644040941959734,0.5371546057919392,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,80000.0
IVFNSGAII,DTLZ2,3,4006,10,10000.0,100000.0,6068.993300096331,48120.8345365447,0.0730076945939189,0.5282392633229228,0.0647568840280433,0.5391205532031631,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0
