Algoritmo,Problema,M,is_engineering,n_rows,n_unique_runs,run_min,run_max,expected_window,status
MFOSPEA2,WFG8,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG8,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG9,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG9,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,ZDT1,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,ZDT2,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,ZDT3,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,ZDT4,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,ZDT6,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ1,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ1,M3,False,60,60,1,60,1-60,ok
MOEAD,DTLZ2,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ2,M3,False,60,60,1,60,1-60,ok
MOEAD,DTLZ3,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ3,M3,False,60,60,1,60,1-60,ok
MOEAD,DTLZ4,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ4,M3,False,60,60,1,60,1-60,ok
MOEAD,DTLZ5,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ5,M3,False,60,60,1,60,1-60,ok
MOEAD,DTLZ6,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ6,M3,False,60,60,1,60,1-60,ok
MOEAD,DTLZ7,M2,False,60,60,1,60,1-60,ok
MOEAD,DTLZ7,M3,False,60,60,1,60,1-60,ok
MOEAD,MaF1,M2,False,60,60,1,60,1-60,ok
MOEAD,MaF1,M3,False,60,60,1,60,1-60,ok
MOEAD,MaF2,M2,False,60,60,1,60,1-60,ok
MOEAD,MaF2,M3,False,60,60,1,60,1-60,ok
MOEAD,MaF3,M2,False,60,60,1,60,1-60,ok
MOEAD,MaF3,M3,False,60,60,1,60,1-60,ok
MOEAD,MaF4,M2,False,60,60,1,60,1-60,ok
MOEAD,MaF4,M3,False,60,60,1,60,1-60,ok
MOEAD,MaF5,M2,False,60,60,1,60,1-60,ok
MOEAD,MaF5,M3,False,60,60,1,60,1-60,ok
MOEAD,MaF6,M2,False,60,60,1,60,1-60,ok
MOEAD,MaF6,M3,False,60,60,1,60,1-60,ok
MOEAD,MaF7,M2,False,60,60,1,60,1-60,ok
MOEAD,MaF7,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG1,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG1,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG2,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG2,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG3,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG3,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG4,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG4,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG5,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG5,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG6,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG6,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG7,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG7,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG8,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG8,M3,False,60,60,1,60,1-60,ok
MOEAD,WFG9,M2,False,60,60,1,60,1-60,ok
MOEAD,WFG9,M3,False,60,60,1,60,1-60,ok
MOEAD,ZDT1,M2,False,60,60,1,60,1-60,ok
MOEAD,ZDT2,M2,False,60,60,1,60,1-60,ok
MOEAD,ZDT3,M2,False,60,60,1,60,1-60,ok
MOEAD,ZDT4,M2,False,60,60,1,60,1-60,ok
MOEAD,ZDT6,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ1,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ1,M3,False,60,60,1,60,1-60,ok
NSGAII,DTLZ2,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ2,M3,False,60,60,1,60,1-60,ok
NSGAII,DTLZ3,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ3,M3,False,60,60,1,60,1-60,ok
NSGAII,DTLZ4,M2,False,60,60,1,60,1-60,ok
NSGAII,DTLZ4,M3,False,60,60,1,60,1-60,ok
