metric,suite,problem,M,baseline,A12,significant,p_value
IGD,WFG,WFG5,M2,ARMOEA,0.4097222222222222,False,0.08853377201422956
IGD,WFG,WFG6,M2,SPEA2,0.4230555555555556,False,0.14671063961713326
IGD,WFG,WFG6,M2,MFOSPEA2,0.5161111111111111,False,0.7628070225603124
IGD,WFG,WFG6,M2,SPEA2SDE,0.5852777777777778,False,0.10768025042531737
IGD,WFG,WFG6,M2,NSGAII,0.47694444444444445,False,0.6650055421020291
IGD,WFG,WFG6,M2,NSGAIII,0.47638888888888886,False,0.6573969025416087
IGD,WFG,WFG6,M2,MOEAD,0.46416666666666667,False,0.5000252082856427
IGD,WFG,WFG6,M2,AGEMOEAII,0.4247222222222222,False,0.15567849615993545
IGD,WFG,WFG6,M2,ARMOEA,0.4161111111111111,False,0.11354354716475075
IGD,WFG,WFG7,M2,SPEA2,0.8869444444444444,True,2.6967994403039473e-13
IGD,WFG,WFG7,M2,MFOSPEA2,0.8755555555555555,True,1.3072853966789453e-12
IGD,WFG,WFG7,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG7,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG7,M2,NSGAIII,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG7,M2,MOEAD,0.9994444444444445,True,3.931323565143429e-21
IGD,WFG,WFG7,M2,AGEMOEAII,0.9683333333333334,True,9.024166655555409e-19
IGD,WFG,WFG7,M2,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG8,M2,SPEA2,0.5019444444444444,False,0.9727845283335559
IGD,WFG,WFG8,M2,MFOSPEA2,0.4022222222222222,False,0.0650525898057357
IGD,WFG,WFG8,M2,SPEA2SDE,0.9597222222222223,True,3.825161644822564e-18
IGD,WFG,WFG8,M2,NSGAII,0.6533333333333333,True,0.003796125747836176
IGD,WFG,WFG8,M2,NSGAIII,0.19027777777777777,True,4.927329990766869e-09
IGD,WFG,WFG8,M2,MOEAD,0.6672222222222223,True,0.0015937060286095777
IGD,WFG,WFG8,M2,AGEMOEAII,0.265,True,9.091504167080014e-06
IGD,WFG,WFG8,M2,ARMOEA,0.26361111111111113,True,8.045584534382022e-06
IGD,WFG,WFG9,M2,SPEA2,0.34444444444444444,True,0.0033181746205441717
IGD,WFG,WFG9,M2,MFOSPEA2,0.29527777777777775,True,0.00011080622228834933
IGD,WFG,WFG9,M2,SPEA2SDE,0.8688888888888889,True,3.224665548352656e-12
IGD,WFG,WFG9,M2,NSGAII,0.655,True,0.003432227821271658
IGD,WFG,WFG9,M2,NSGAIII,0.18222222222222223,True,1.9511976729196963e-09
IGD,WFG,WFG9,M2,MOEAD,0.8752777777777778,True,1.3578244038007843e-12
IGD,WFG,WFG9,M2,AGEMOEAII,0.35,True,0.004630986301881999
IGD,WFG,WFG9,M2,ARMOEA,0.3005555555555556,True,0.00016595130582595488
IGD,WFG,WFG1,M3,SPEA2,0.5288888888888889,False,0.5869686192952058
IGD,WFG,WFG1,M3,MFOSPEA2,0.495,False,0.9268162807755412
IGD,WFG,WFG1,M3,SPEA2SDE,0.9877777777777778,True,3.1423583271294874e-20
IGD,WFG,WFG1,M3,NSGAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG1,M3,NSGAIII,0.17833333333333334,True,1.237565805382284e-09
IGD,WFG,WFG1,M3,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG1,M3,AGEMOEAII,0.1947222222222222,True,8.135349253210223e-09
IGD,WFG,WFG1,M3,ARMOEA,0.2658333333333333,True,9.780132717611364e-06
IGD,WFG,WFG2,M3,SPEA2,0.10111111111111111,True,4.905063057299978e-14
IGD,WFG,WFG2,M3,MFOSPEA2,0.043611111111111114,True,6.643614408231023e-18
IGD,WFG,WFG2,M3,SPEA2SDE,0.9894444444444445,True,2.341931907873879e-20
IGD,WFG,WFG2,M3,NSGAII,0.9997222222222222,True,3.7393064081683805e-21
IGD,WFG,WFG2,M3,NSGAIII,0.001388888888888889,True,4.567840913829236e-21
IGD,WFG,WFG2,M3,MOEAD,0.9997222222222222,True,3.7393064081683805e-21
IGD,WFG,WFG2,M3,AGEMOEAII,0.11222222222222222,True,2.398349428889217e-13
IGD,WFG,WFG2,M3,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG3,M3,SPEA2,0.7888888888888889,True,4.870894603796619e-08
IGD,WFG,WFG3,M3,MFOSPEA2,0.9302777777777778,True,4.381724729882233e-16
