early_frac,help_cutoff,label_alpha,feature,n_labeled_cases,n_helps,n_not_helps,helps_median,not_helps_median,u_stat,p_value,a12,p_bh,significant_bh,signal
0.3,0.54,0.05,hv_early_delta,51,41,10,0.0039970478999948,0.00307491313708055,226.0,0.6267096751502876,0.551219512195122,0.7050483845440736,False,
0.3,0.54,0.05,turnover_ratio,51,41,10,0.9781923644344092,0.9709920203009638,210.0,0.9149772756438391,0.5121951219512195,0.9621528136059516,False,
0.3,0.54,0.05,turnover_delta,51,41,10,-0.0047157190635451,-0.00536789297658855,202.5,0.9621528136059516,0.49390243902439024,0.9621528136059516,False,
0.3,0.56,0.05,ivf_turnover_early,51,41,10,0.2330936454849498,0.1799832775919732,340.0,0.0014177288329894687,0.8292682926829268,0.023264559785606924,True,BH-SIG
0.3,0.56,0.05,spea2_turnover_early,51,41,10,0.2394314381270903,0.18234113712374575,332.5,0.0025849510872896584,0.8109756097560976,0.023264559785606924,True,BH-SIG
0.3,0.56,0.05,hv_final_delta,51,41,10,0.0002337963417908,-3.960789093095e-05,298.0,0.028194768295381784,0.7268292682926829,0.16916860977229073,False,RAW-SIG
0.3,0.56,0.05,igd_final_delta,51,41,10,0.0001844781810679,1.3126234337899804e-05,281.0,0.07325477562123794,0.6853658536585366,0.32964649029557075,False,WEAK
0.3,0.56,0.05,ivf_fitness_early,51,41,10,3.376242418167028,1.3599661714549436,275.0,0.09917019616487908,0.6707317073170732,0.3438934477461731,False,WEAK
0.3,0.56,0.05,spea2_fitness_early,51,41,10,3.967184478203668,1.7478882311346486,272.0,0.11463114924872438,0.6634146341463415,0.3438934477461731,False,
0.3,0.56,0.05,ivf_nd_early,51,41,10,0.9573578595317728,0.975041806020067,155.0,0.24022853202364503,0.3780487804878049,0.5049309147906315,False,
0.3,0.56,0.05,spacing_ratio,51,41,10,0.8139394987514463,0.9054993222303245,156.0,0.24987042526657588,0.3804878048780488,0.5049309147906315,False,
0.3,0.56,0.05,spea2_nd_early,51,41,10,0.9466555183946488,0.9660451505016722,158.0,0.26993420203112817,0.3853658536585366,0.5049309147906315,False,
0.3,0.56,0.05,nd_delta,51,41,10,0.0096321070234113,0.005267558528428,250.0,0.2910651212803569,0.6097560975609756,0.5049309147906315,False,
0.3,0.56,0.05,igd_early_delta,51,41,10,0.012879795247948,0.005990493826983,248.0,0.3133037646480412,0.6048780487804878,0.5049309147906315,False,
0.3,0.56,0.05,ivf_spacing_early,51,41,10,0.0158440484618712,0.0407906707823389,164.0,0.33662060986042097,0.4,0.5049309147906315,False,
0.3,0.56,0.05,spea2_spacing_early,51,41,10,0.0197541486652803,0.0405959786101045,167.0,0.3736330171948845,0.4073170731707317,0.5173380238083016,False,
0.3,0.56,0.05,fitness_delta,51,41,10,0.8243124903852284,0.28641828010152315,238.0,0.44066922622885496,0.5804878048780487,0.5665747194370993,False,
0.3,0.56,0.05,ivf_cycles_early,51,41,10,1.8779264214046825,1.8762541806020068,228.5,0.57180145459624,0.5573170731707318,0.686161745515488,False,
0.3,0.56,0.05,hv_early_delta,51,41,10,0.0039970478999948,0.00307491313708055,226.0,0.6267096751502876,0.551219512195122,0.7050483845440736,False,
0.3,0.56,0.05,turnover_ratio,51,41,10,0.9781923644344092,0.9709920203009638,210.0,0.9149772756438391,0.5121951219512195,0.9621528136059516,False,
0.3,0.56,0.05,turnover_delta,51,41,10,-0.0047157190635451,-0.00536789297658855,202.5,0.9621528136059516,0.49390243902439024,0.9621528136059516,False,
0.3,0.58,0.05,ivf_turnover_early,51,41,10,0.2330936454849498,0.1799832775919732,340.0,0.0014177288329894687,0.8292682926829268,0.023264559785606924,True,BH-SIG
0.3,0.58,0.05,spea2_turnover_early,51,41,10,0.2394314381270903,0.18234113712374575,332.5,0.0025849510872896584,0.8109756097560976,0.023264559785606924,True,BH-SIG
0.3,0.58,0.05,hv_final_delta,51,41,10,0.0002337963417908,-3.960789093095e-05,298.0,0.028194768295381784,0.7268292682926829,0.16916860977229073,False,RAW-SIG
0.3,0.58,0.05,igd_final_delta,51,41,10,0.0001844781810679,1.3126234337899804e-05,281.0,0.07325477562123794,0.6853658536585366,0.32964649029557075,False,WEAK
0.3,0.58,0.05,ivf_fitness_early,51,41,10,3.376242418167028,1.3599661714549436,275.0,0.09917019616487908,0.6707317073170732,0.3438934477461731,False,WEAK
0.3,0.58,0.05,spea2_fitness_early,51,41,10,3.967184478203668,1.7478882311346486,272.0,0.11463114924872438,0.6634146341463415,0.3438934477461731,False,
0.3,0.58,0.05,ivf_nd_early,51,41,10,0.9573578595317728,0.975041806020067,155.0,0.24022853202364503,0.3780487804878049,0.5049309147906315,False,
0.3,0.58,0.05,spacing_ratio,51,41,10,0.8139394987514463,0.9054993222303245,156.0,0.24987042526657588,0.3804878048780488,0.5049309147906315,False,
0.3,0.58,0.05,spea2_nd_early,51,41,10,0.9466555183946488,0.9660451505016722,158.0,0.26993420203112817,0.3853658536585366,0.5049309147906315,False,
0.3,0.58,0.05,nd_delta,51,41,10,0.0096321070234113,0.005267558528428,250.0,0.2910651212803569,0.6097560975609756,0.5049309147906315,False,
0.3,0.58,0.05,igd_early_delta,51,41,10,0.012879795247948,0.005990493826983,248.0,0.3133037646480412,0.6048780487804878,0.5049309147906315,False,
0.3,0.58,0.05,ivf_spacing_early,51,41,10,0.0158440484618712,0.0407906707823389,164.0,0.33662060986042097,0.4,0.5049309147906315,False,
0.3,0.58,0.05,spea2_spacing_early,51,41,10,0.0197541486652803,0.0405959786101045,167.0,0.3736330171948845,0.4073170731707317,0.5173380238083016,False,
0.3,0.58,0.05,fitness_delta,51,41,10,0.8243124903852284,0.28641828010152315,238.0,0.44066922622885496,0.5804878048780487,0.5665747194370993,False,
0.3,0.58,0.05,ivf_cycles_early,51,41,10,1.8779264214046825,1.8762541806020068,228.5,0.57180145459624,0.5573170731707318,0.686161745515488,False,
0.3,0.58,0.05,hv_early_delta,51,41,10,0.0039970478999948,0.00307491313708055,226.0,0.6267096751502876,0.551219512195122,0.7050483845440736,False,
0.3,0.58,0.05,turnover_ratio,51,41,10,0.9781923644344092,0.9709920203009638,210.0,0.9149772756438391,0.5121951219512195,0.9621528136059516,False,
0.3,0.58,0.05,turnover_delta,51,41,10,-0.0047157190635451,-0.00536789297658855,202.5,0.9621528136059516,0.49390243902439024,0.9621528136059516,False,
