algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ4,DTLZ,2,11,4004,0.005082542117380032,0.34650157767349465,2.0586660000000014
IVFNSGAII,DTLZ4,DTLZ,2,11,4005,0.005194262553420924,0.34618891458405326,2.211815999999998
IVFNSGAII,DTLZ4,DTLZ,2,11,4006,0.005239003402508772,0.34670457204210375,2.7983489999999978
IVFNSGAII,DTLZ4,DTLZ,2,11,4007,0.005128795853006743,0.34669267695969663,2.6963269999999993
IVFNSGAII,DTLZ4,DTLZ,2,11,4008,0.005198619653017202,0.3462452044783381,2.906280999999999
IVFNSGAII,DTLZ4,DTLZ,2,11,4009,0.0053080745408865685,0.3463407305073106,2.275400999999999
IVFNSGAII,DTLZ4,DTLZ,2,11,4010,0.0051335616523832325,0.3465870022450707,2.966810000000003
IVFNSGAII,DTLZ4,DTLZ,2,11,4011,0.005313263479764889,0.34658472953053404,2.2107569999999996
IVFNSGAII,DTLZ4,DTLZ,2,11,4012,0.005158651903132021,0.3466163484943832,2.9568410000000034
IVFNSGAII,DTLZ4,DTLZ,2,11,4013,0.005544902919735199,0.3465871867416932,1.9258199999999999
IVFNSGAII,DTLZ4,DTLZ,2,11,4014,0.005144845042556881,0.34635097168251594,2.373984000000001
IVFNSGAII,DTLZ4,DTLZ,2,11,4015,0.005046239166067735,0.346596307951523,2.249208000000002
IVFNSGAII,DTLZ4,DTLZ,2,11,4016,0.005081600267218536,0.3466721975507592,2.3017859999999994
IVFNSGAII,DTLZ4,DTLZ,2,11,4017,0.005094489761523914,0.3464304809595971,2.0082600000000026
IVFNSGAII,DTLZ4,DTLZ,2,11,4018,0.7420913395391106,0.09090908849679658,2.936852000000002
IVFNSGAII,DTLZ4,DTLZ,2,11,4019,0.00480524005590718,0.34685559901327173,2.357914000000001
IVFNSGAII,DTLZ4,DTLZ,2,11,4020,0.0052326913589845064,0.34633517022584004,2.113099
