Grupo,Algoritmo,Problema,Run,M,D,IGDp,arquivo_original
DTLZ,IVFSPEA2,DTLZ3,3,M2,D11,0.0019171987244686567,IVFSPEA2_DTLZ3_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ3,4,M2,D11,0.0034389897917635756,IVFSPEA2_DTLZ3_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ3,5,M2,D11,0.001987835386700181,IVFSPEA2_DTLZ3_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ3,6,M2,D11,0.0019215099861019595,IVFSPEA2_DTLZ3_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ3,7,M2,D11,0.002319432768923787,IVFSPEA2_DTLZ3_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ3,8,M2,D11,0.0020932402190065183,IVFSPEA2_DTLZ3_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ3,9,M2,D11,0.0021464182338775508,IVFSPEA2_DTLZ3_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ3,10,M2,D11,0.0022714953440906497,IVFSPEA2_DTLZ3_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ3,11,M2,D11,0.0025055252007925416,IVFSPEA2_DTLZ3_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ3,12,M2,D11,0.0019534348153423175,IVFSPEA2_DTLZ3_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ3,13,M2,D11,0.0020958111495358537,IVFSPEA2_DTLZ3_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ3,14,M2,D11,0.002381837593432002,IVFSPEA2_DTLZ3_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ3,15,M2,D11,0.002949588353235576,IVFSPEA2_DTLZ3_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ3,16,M2,D11,0.0025026117954524843,IVFSPEA2_DTLZ3_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ3,17,M2,D11,0.0022848494531278723,IVFSPEA2_DTLZ3_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ3,18,M2,D11,0.003165914886477148,IVFSPEA2_DTLZ3_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ3,19,M2,D11,0.0031570466408130994,IVFSPEA2_DTLZ3_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ3,20,M2,D11,0.002796500871867136,IVFSPEA2_DTLZ3_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ3,21,M2,D11,0.0019351532543234596,IVFSPEA2_DTLZ3_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ3,22,M2,D11,0.0018686338075878921,IVFSPEA2_DTLZ3_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ3,23,M2,D11,0.002421998567811168,IVFSPEA2_DTLZ3_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ3,24,M2,D11,0.001985829962920017,IVFSPEA2_DTLZ3_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ3,25,M2,D11,0.0022156101744469536,IVFSPEA2_DTLZ3_M2_D11_25.mat
