Grupo,Problema,Algoritmo,mean,std,min,max
DTLZ,DTLZ2_M3,MFOSPEA2,0.05422258222850012,0.0005591564246972599,0.05255852844217123,0.055332462223055066
DTLZ,DTLZ2_M3,MOEAD,0.05446387709785618,1.6724405792116356e-07,0.054463438499529115,0.05446429417307803
DTLZ,DTLZ2_M3,NSGAII,0.06922835550728178,0.0028914509506250425,0.06380541527839377,0.07573996078327984
DTLZ,DTLZ2_M3,NSGAIII,0.054464234164436943,5.958881450162143e-07,0.05446305459736113,0.054466649016996105
DTLZ,DTLZ2_M3,SPEA2,0.05422875956387406,0.0004483809891365388,0.053156928618423985,0.05506419612019941
DTLZ,DTLZ2_M3,SPEA2SDE,0.0767318143335965,0.0023584165771373964,0.07074436980910502,0.08258418004837795
DTLZ,DTLZ3_M2,IVFSPEA2,0.0042932226761813385,0.00027935062514571177,0.004031837070927802,0.005438845860463122
DTLZ,DTLZ3_M2,MFOSPEA2,0.004416783744594742,0.00047736393195588764,0.00404364518961024,0.006813601073830287
DTLZ,DTLZ3_M2,MOEAD,0.004548817949263178,0.000576702086789855,0.003980070435940879,0.0070208643161880305
DTLZ,DTLZ3_M2,NSGAII,0.005436563928081307,0.0005981659064888566,0.004693349220571496,0.0076157948227955526
DTLZ,DTLZ3_M2,NSGAIII,0.0044032703969972605,0.0004955045669972175,0.003972657624422898,0.006463026836608252
DTLZ,DTLZ3_M2,SPEA2,0.0043941614299655655,0.0003236477679600509,0.004022662659315686,0.005375474062258963
DTLZ,DTLZ3_M2,SPEA2SDE,0.010225180516946203,0.0012780917498128902,0.007784198161683571,0.015082760929159897
DTLZ,DTLZ3_M3,IVFSPEA2,0.053168377176721626,0.0004107878290970746,0.05238431767375463,0.05430174142433189
DTLZ,DTLZ3_M3,MFOSPEA2,0.05345812718720199,0.0005548961207976894,0.05236669236841396,0.054927389580403926
DTLZ,DTLZ3_M3,MOEAD,0.0547681834205919,0.0004437703620808112,0.054481496490174086,0.05652695375797385
DTLZ,DTLZ3_M3,NSGAII,0.06901627203959583,0.002920904890944004,0.06180727418818441,0.07532515549054032
DTLZ,DTLZ3_M3,NSGAIII,0.05469857555629131,0.0002209703690607117,0.054469796516034875,0.055533739350341414
DTLZ,DTLZ3_M3,SPEA2,0.053419425966218605,0.0006358427791887095,0.05228535717432051,0.05605010097827346
DTLZ,DTLZ3_M3,SPEA2SDE,0.07605840963285054,0.0029277162360553458,0.06950895041128458,0.08507081151851985
DTLZ,DTLZ4_M2,IVFSPEA2,0.250123795961445,0.3508092822307501,0.0040728773424789436,0.7420913467620702
DTLZ,DTLZ4_M2,MFOSPEA2,0.11484990497861465,0.26571772848469294,0.0040784633311579535,0.7420913399774518
DTLZ,DTLZ4_M2,MOEAD,0.053177742954672945,0.18567368758742464,0.003965876220929712,0.7420913418691756
DTLZ,DTLZ4_M2,NSGAII,0.15251210915478225,0.2972773908165699,0.00474175791480309,0.7420913401863144
DTLZ,DTLZ4_M2,NSGAIII,0.12698945592352223,0.27740333301986975,0.003965999509941942,0.7420913406362575
DTLZ,DTLZ4_M2,SPEA2,0.0902527835855562,0.23889153272540847,0.00409093778196346,0.7420913405446299
DTLZ,DTLZ4_M2,SPEA2SDE,0.1197767567289893,0.26363286595947216,0.008008258916819482,0.7420913403463414
DTLZ,DTLZ4_M3,IVFSPEA2,0.3880524726308068,0.2871965013834011,0.05342234001462698,0.9459249292362336
DTLZ,DTLZ4_M3,MFOSPEA2,0.1506313050080486,0.21014282866787332,0.053494681092194185,0.9459249265253594
DTLZ,DTLZ4_M3,MOEAD,0.19110363474250702,0.2340886678875695,0.05446334577168936,0.9459249268245938
DTLZ,DTLZ4_M3,NSGAII,0.06760614198169082,0.0017606738973904492,0.06429965071975668,0.07209742867895907
DTLZ,DTLZ4_M3,NSGAIII,0.16539915763396565,0.2338090127231873,0.054462238287457714,0.9459249265815421
DTLZ,DTLZ4_M3,SPEA2,0.23155562849257325,0.24852816232266353,0.05370230077697242,0.9459249262789099
DTLZ,DTLZ4_M3,SPEA2SDE,0.19938312506379036,0.23293549954533901,0.0724278751491541,0.9459249273463377
DTLZ,DTLZ5_M2,IVFSPEA2,0.004148110027362569,4.295148473767346e-05,0.004078073756502054,0.004258787393013246
DTLZ,DTLZ5_M2,MFOSPEA2,0.004173465681048846,4.780520479778117e-05,0.004088030586902009,0.004291587376577026
DTLZ,DTLZ5_M2,MOEAD,0.00396589174304862,5.60894495317696e-09,0.00396587802780869,0.003965913309295905
DTLZ,DTLZ5_M2,NSGAII,0.005056823341404439,0.00021545277582708789,0.00459444799343035,0.005753918554213449
DTLZ,DTLZ5_M2,NSGAIII,0.003966038980195519,3.2375063243461516e-08,0.003965995555189276,0.003966163060152675
DTLZ,DTLZ5_M2,SPEA2,0.0041711752666876815,4.661743001362174e-05,0.0040868245313126095,0.00433108292083128
DTLZ,DTLZ5_M2,SPEA2SDE,0.010199916341951418,0.0010918212471945896,0.008188446094234086,0.012643563604009457
DTLZ,DTLZ5_M3,IVFSPEA2,0.004315647330346629,8.735114829318448e-05,0.0041386753046408166,0.00464582532033635
DTLZ,DTLZ5_M3,MFOSPEA2,0.004416958890702428,0.0001210587863500074,0.004161224100656937,0.004910019720002566
DTLZ,DTLZ5_M3,MOEAD,0.033905722666710235,9.976141615987777e-06,0.03387842127319166,0.033922475475572623
DTLZ,DTLZ5_M3,NSGAII,0.005823696129063948,0.0003145069980467516,0.00523215055954638,0.0065338370801391365
DTLZ,DTLZ5_M3,NSGAIII,0.012875500969370032,0.0017897356174876968,0.009618053766676599,0.01792513151641009
DTLZ,DTLZ5_M3,SPEA2,0.004422935548229881,0.00011723647936334969,0.004195074699095406,0.004647937191035557
DTLZ,DTLZ5_M3,SPEA2SDE,0.010010776759150655,0.0012173525320545303,0.008213665174458831,0.013397310286978097
DTLZ,DTLZ6_M2,IVFSPEA2,0.0040714324183871815,3.1815200708435724e-05,0.004023805328581578,0.004170804905174388
DTLZ,DTLZ6_M2,MFOSPEA2,0.004082853677461872,2.9767792130525447e-05,0.004012493600365386,0.004150075922068044
DTLZ,DTLZ6_M2,MOEAD,0.003965878596267656,4.577684185573764e-09,0.003965866748632099,0.003965889098739562
DTLZ,DTLZ6_M2,NSGAII,0.005683318099826303,0.00025045310121249876,0.005265212494977482,0.006366467798592334
DTLZ,DTLZ6_M2,NSGAIII,0.003966035337773877,3.277442254523573e-07,0.003965921754744683,0.003968014629985517
DTLZ,DTLZ6_M2,SPEA2,0.0040941143744189406,3.046144626551237e-05,0.004033665766801247,0.004159690612046626
DTLZ,DTLZ6_M2,SPEA2SDE,0.0096586636170657,0.0010582612691746283,0.00762801634563879,0.013081709853184614
DTLZ,DTLZ6_M3,IVFSPEA2,0.004083121181601886,3.453191542772093e-05,0.004015049832111664,0.004175125914154738
DTLZ,DTLZ6_M3,MFOSPEA2,0.004087624546209011,3.1475876555208564e-05,0.004012316605517069,0.004173622334705496
DTLZ,DTLZ6_M3,MOEAD,0.0339239489176293,3.8216331892617924e-06,0.0339051292286941,0.033928701122856515
DTLZ,DTLZ6_M3,NSGAII,0.005874421369965392,0.00031245508258403336,0.005427242901573575,0.006909643685461748
