Grupo,Algoritmo,Problema,Run,M,D,HV,arquivo_original
DTLZ,IVFSPEA2,DTLZ3,8,M2,D11,0.34698283827248005,IVFSPEA2_DTLZ3_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ3,9,M2,D11,0.3469712371096988,IVFSPEA2_DTLZ3_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ3,10,M2,D11,0.34675459716941615,IVFSPEA2_DTLZ3_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ3,11,M2,D11,0.3464000606428825,IVFSPEA2_DTLZ3_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ3,12,M2,D11,0.3472488340840646,IVFSPEA2_DTLZ3_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ3,13,M2,D11,0.34703963244321434,IVFSPEA2_DTLZ3_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ3,14,M2,D11,0.3465718117511388,IVFSPEA2_DTLZ3_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ3,15,M2,D11,0.34572570805028746,IVFSPEA2_DTLZ3_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ3,16,M2,D11,0.3463892387968261,IVFSPEA2_DTLZ3_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ3,17,M2,D11,0.3467221839073877,IVFSPEA2_DTLZ3_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ3,18,M2,D11,0.3454021602366485,IVFSPEA2_DTLZ3_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ3,19,M2,D11,0.34535803404429605,IVFSPEA2_DTLZ3_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ3,20,M2,D11,0.3459148989841493,IVFSPEA2_DTLZ3_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ3,21,M2,D11,0.3472624632009201,IVFSPEA2_DTLZ3_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ3,22,M2,D11,0.34738233091419357,IVFSPEA2_DTLZ3_M2_D11_22.mat
