case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2
maf1_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.040881486705132225,0.00046659526228556847,0.040881486705132225,0.00046659526228556847,0.04147093036217691,0.0006050136792329561,1.0,1.0,0.5,2.551823854446411e-07,1.446033517519633e-06,0.13777777777777778
maf2_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.0021175016722719767,3.567665999643652e-05,0.0021175016722719767,3.567665999643652e-05,0.0021843512318951695,3.558862595908537e-05,1.0,1.0,0.5,4.6566128730773926e-08,3.6536501004145697e-07,0.06555555555555556
maf2_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.030827519466257274,0.0012270929208940372,0.030827519466257274,0.0012270929208940372,0.03210549051609238,0.0015060410057117016,1.0,1.0,0.5,0.00013739429414272308,0.00040040622864450726,0.15888888888888889
maf3_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.003767042676945816,7.131480127449017e-05,0.003767042676945816,7.131480127449017e-05,0.004385607062387457,0.0007488237187252061,1.0,1.0,0.5,1.862645149230957e-09,6.332993507385254e-08,0.03
maf3_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.031943922553046816,0.0005971827920976114,0.031943922553046816,0.0005971827920976114,0.03288075688248415,0.0009383047489106844,1.0,1.0,0.5,4.421919584274292e-06,1.9610252069390338e-05,0.13777777777777778
maf4_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.012479366263154804,0.00015677094160740368,0.012479366263154804,0.00015677094160740368,0.012695946994313586,0.0002003455665311113,1.0,1.0,0.5,3.049522638320923e-05,0.0001003391319705594,0.16
maf4_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.23625877921308241,0.0036236846451114246,0.23625877921308241,0.0036236846451114246,0.23999132485281102,0.004199891244460935,1.0,1.0,0.5,2.6885420083999634e-05,9.141042828559875e-05,0.18666666666666668
maf5_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.012686267482462377,0.0003347865712964096,0.012686267482462377,0.00032377930865021276,0.012857753379204872,1.9957229405365688,0.31731050786291415,0.7552651206767836,0.5016666666666667,0.01453801617026329,0.02316996327135712,0.31444444444444447
maf5_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.24333602266308918,1.251561768901518,0.24333602266308918,1.251561768901518,0.24443877345719156,0.0046677110607388494,1.0,1.0,0.5,0.7000329215079546,0.7361170927197048,0.4688888888888889
maf6_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004050863000585898,3.9908322420277934e-05,0.004050863000585898,3.9908322420277934e-05,0.0040834398801645345,4.560545226944823e-05,1.0,1.0,0.5,0.029325857758522034,0.04273196416241782,0.31777777777777777
