Grupo,Algoritmo,Problema,Run,M,D,IGD,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,37,M2,D11,0.00411856790687694,IVFSPEA2_DTLZ2_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ2,37,M3,D12,0.052684075672391244,IVFSPEA2_DTLZ2_M3_D12_37.mat
DTLZ,IVFSPEA2,DTLZ2,38,M2,D11,0.004129207867200519,IVFSPEA2_DTLZ2_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ2,38,M3,D12,0.05349319774137453,IVFSPEA2_DTLZ2_M3_D12_38.mat
DTLZ,IVFSPEA2,DTLZ2,39,M2,D11,0.0041639237925696106,IVFSPEA2_DTLZ2_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ2,39,M3,D12,0.054018724678570544,IVFSPEA2_DTLZ2_M3_D12_39.mat
DTLZ,IVFSPEA2,DTLZ2,40,M2,D11,0.004132913271205144,IVFSPEA2_DTLZ2_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ2,40,M3,D12,0.05481616482680171,IVFSPEA2_DTLZ2_M3_D12_40.mat
DTLZ,IVFSPEA2,DTLZ2,41,M3,D12,0.054168862072540395,IVFSPEA2_DTLZ2_M3_D12_41.mat
DTLZ,IVFSPEA2,DTLZ2,41,M2,D11,0.004134687415405201,IVFSPEA2_DTLZ2_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ2,42,M2,D11,0.004124648058206718,IVFSPEA2_DTLZ2_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ2,42,M3,D12,0.05371549086268672,IVFSPEA2_DTLZ2_M3_D12_42.mat
DTLZ,IVFSPEA2,DTLZ2,43,M3,D12,0.054396703506279426,IVFSPEA2_DTLZ2_M3_D12_43.mat
DTLZ,IVFSPEA2,DTLZ2,43,M2,D11,0.004100550172533174,IVFSPEA2_DTLZ2_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ2,44,M2,D11,0.004141059451853314,IVFSPEA2_DTLZ2_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ2,44,M3,D12,0.0538700844136965,IVFSPEA2_DTLZ2_M3_D12_44.mat
