Grupo,Algoritmo,Problema,Run,M,D,Spread,arquivo_original
DTLZ,IVFSPEA2,DTLZ3,33,M2,D11,0.07230566194949155,IVFSPEA2_DTLZ3_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ3,34,M2,D11,0.10782116788530126,IVFSPEA2_DTLZ3_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ3,35,M2,D11,0.08950275757598432,IVFSPEA2_DTLZ3_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ3,36,M2,D11,0.10278767900110762,IVFSPEA2_DTLZ3_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ3,37,M2,D11,0.12479009744379256,IVFSPEA2_DTLZ3_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ3,38,M2,D11,0.12848724389247618,IVFSPEA2_DTLZ3_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ3,39,M2,D11,0.09223018228968036,IVFSPEA2_DTLZ3_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ3,40,M2,D11,0.08853592091335805,IVFSPEA2_DTLZ3_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ3,41,M2,D11,0.06612712152425293,IVFSPEA2_DTLZ3_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ3,42,M2,D11,0.10493624859670835,IVFSPEA2_DTLZ3_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ3,43,M2,D11,0.10829457367048749,IVFSPEA2_DTLZ3_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ3,44,M2,D11,0.08570842544911726,IVFSPEA2_DTLZ3_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ3,45,M2,D11,0.09816502362270414,IVFSPEA2_DTLZ3_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ3,46,M2,D11,0.09621771908113157,IVFSPEA2_DTLZ3_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ3,47,M2,D11,0.10187840326165516,IVFSPEA2_DTLZ3_M2_D11_47.mat
DTLZ,IVFSPEA2,DTLZ3,48,M2,D11,0.10202148552776806,IVFSPEA2_DTLZ3_M2_D11_48.mat
